City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (Â°F),Wind Speed
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Yarensk,3,RU,1561489809,69,62.17,49.09,46.13,2.95
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Bereda,0,ES,1561489813,64,43.27,-7.54,69.01,4.7
Vaini,46,IN,1561489546,89,15.34,74.49,78.89,4.23
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Leeton,0,AU,1561489817,100,-34.55,146.4,44.6,5.82
Gao,22,ML,1561489818,11,16.28,-0.04,107.69,10.27
Maragogi,90,BR,1561489819,74,-9.01,-35.22,79.25,9.42
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Pacific Grove,1,US,1561489821,63,36.62,-121.92,80.01,10.29
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Kapaa,75,US,1561489518,83,22.08,-159.32,80.6,8.05
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Srednekolymsk,21,RU,1561489826,43,67.46,153.71,68.99,2.75
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Chuy,100,UY,1561489828,70,-33.69,-53.46,50.81,20.69
Tumaco,86,CO,1561489779,83,1.8,-78.82,79.79,13.11
Port Elizabeth,1,US,1561489513,51,39.31,-74.98,87.01,12.75
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Qaanaaq,100,GL,1561489505,88,77.48,-69.36,34.61,3.06
San Patricio,100,PY,1561489834,91,-26.98,-56.83,54.23,13.89
Hanzhong,10,CN,1561489836,88,33.08,107.03,69.89,3.11
Muros,20,ES,1561489837,72,42.77,-9.06,70.0,8.05
Kedougou,0,SN,1561489838,39,12.56,-12.19,96.8,4.7
Atuona,5,PF,1561489503,76,-9.8,-139.03,81.23,22.21
Waddan,0,LY,1561489840,9,29.16,16.14,101.39,8.81
Port Elizabeth,1,US,1561489513,51,39.31,-74.98,87.01,12.75
Bonavista,67,CA,1561489843,86,48.65,-53.11,51.01,4.0
Iskateley,100,RU,1561489844,78,67.68,53.15,44.69,14.92
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Georgetown,40,GY,1561489584,70,6.8,-58.16,87.8,11.41
Barrow,0,AR,1561489585,42,-38.31,-60.23,49.91,21.61
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Okitipupa,97,NG,1561489852,95,6.5,4.78,75.11,4.7
Myre,90,SE,1561489854,72,62.25,17.37,60.8,5.82
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Taixing,100,CN,1561489856,77,32.17,120.02,75.0,7.45
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Belmonte,92,PT,1561489515,51,40.36,-7.35,73.0,5.46
Aleksandrov Gay,97,RU,1561489859,55,50.14,48.57,68.09,16.78
Bathsheba,40,BB,1561489861,66,13.22,-59.52,86.0,19.46
Saldanha,100,PT,1561489553,59,41.42,-6.55,70.61,2.24
Alyangula,98,AU,1561489863,93,-13.85,136.42,53.6,12.17
Dikson,0,RU,1561489864,87,73.51,80.55,31.55,11.68
Hermanus,38,ZA,1561489511,84,-34.42,19.24,59.0,7.0
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Arraial do Cabo,0,BR,1561489547,65,-22.97,-42.02,84.2,13.87
Kapaa,75,US,1561489518,83,22.08,-159.32,80.6,8.05
Nikolskoye,0,RU,1561489548,42,59.7,30.79,64.99,8.95
Alice Springs,0,AU,1561489872,43,-23.7,133.88,35.6,5.82
Huilong,99,CN,1561489874,90,28.89,110.18,66.29,1.34
Khatanga,94,RU,1561489502,66,71.98,102.47,63.05,21.88
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Sterling,75,US,1561489724,45,39.0,-77.4,89.01,6.93
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Tuktoyaktuk,75,CA,1561489524,86,69.44,-133.03,39.2,19.46
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Tuatapere,75,NZ,1561489885,82,-46.13,167.69,44.01,5.99
Kruisfontein,90,ZA,1561489887,94,-34.0,24.73,52.79,8.37
Cabo San Lucas,5,MX,1561489840,65,22.89,-109.91,100.0,8.05
Avarua,100,CK,1561489536,69,-21.21,-159.78,75.2,5.82
Mugur-Aksy,94,RU,1561489890,86,50.38,90.44,26.87,4.72
Sorland,75,NO,1561489891,66,67.67,12.69,50.0,9.17
Tuatapere,75,NZ,1561489885,82,-46.13,167.69,44.01,5.99
Saint-Philippe,90,CA,1561489572,93,45.36,-73.48,69.8,12.75
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Bredasdorp,76,ZA,1561489503,82,-34.53,20.04,59.0,12.75
Tasiilaq,5,GL,1561489389,66,65.61,-37.64,48.2,16.11
Clyde River,75,CA,1561489502,80,70.47,-68.59,41.0,8.05
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Saint-Georges,100,CA,1561489900,52,46.12,-70.67,73.0,1.99
Hualmay,80,PE,1561489554,82,-11.1,-77.61,62.51,12.26
Arraial do Cabo,0,BR,1561489547,65,-22.97,-42.02,84.2,13.87
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Galesong,20,ID,1561489906,100,-5.32,119.37,69.8,2.24
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Aurillac,45,FR,1561489909,32,44.93,2.44,87.01,6.93
Ravne,20,BA,1561489910,94,44.62,17.98,75.2,2.24
Puerto Ayora,75,EC,1561489504,73,-0.74,-90.35,77.0,20.8
Qaqortoq,75,GL,1561489912,42,60.72,-46.03,64.4,5.82
Atuona,5,PF,1561489503,76,-9.8,-139.03,81.23,22.21
Lima,90,PE,1561489821,72,-12.06,-77.04,66.2,4.7
Palatka,20,US,1561489916,56,29.65,-81.64,100.0,5.82
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Lebu,75,ET,1561489575,68,8.96,38.73,64.4,3.98
Saldanha,100,PT,1561489553,59,41.42,-6.55,70.61,2.24
Emba,0,CY,1561489920,88,34.81,32.42,80.6,6.93
Beringovskiy,100,RU,1561489922,92,63.05,179.32,42.17,13.24
Carnarvon,0,ZA,1561489510,29,-30.97,22.13,50.63,8.55
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Butaritari,100,KI,1561489502,77,3.07,172.79,83.03,12.53
Taoudenni,0,ML,1561489547,4,22.68,-3.98,113.99,12.1
Saldanha,100,PT,1561489553,59,41.42,-6.55,70.61,2.24
Arlit,0,NE,1561489928,6,18.74,7.39,107.33,5.08
Carnarvon,0,ZA,1561489510,29,-30.97,22.13,50.63,8.55
Georgetown,40,GY,1561489584,70,6.8,-58.16,87.8,11.41
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Antofagasta,0,CL,1561489933,72,-23.65,-70.4,60.8,12.75
Mayo,40,CA,1561489550,43,63.59,-135.9,69.8,8.05
New Norfolk,0,AU,1561489501,75,-42.78,147.06,45.0,8.05
Te Anau,1,NZ,1561489939,84,-45.41,167.72,37.85,4.34
Nowshera,20,PK,1561489941,35,34.02,71.98,89.6,6.93
Faanui,68,PF,1561489502,73,-16.48,-151.75,78.89,16.02
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Honiara,20,SB,1561489786,94,-9.43,159.96,73.4,0.16
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Souillac,0,FR,1561489556,51,45.6,-0.6,87.01,4.7
Port Hardy,40,CA,1561489948,81,50.7,-127.42,53.6,5.82
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Labytnangi,100,RU,1561489950,98,66.66,66.39,35.33,5.12
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Kapaa,75,US,1561489518,83,22.08,-159.32,80.6,8.05
Puerto Ayora,75,EC,1561489504,73,-0.74,-90.35,77.0,20.8
Faanui,68,PF,1561489502,73,-16.48,-151.75,78.89,16.02
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Carnarvon,0,ZA,1561489510,29,-30.97,22.13,50.63,8.55
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Ostrovnoy,84,RU,1561489962,63,68.05,39.51,48.29,3.42
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Tasiilaq,5,GL,1561489389,66,65.61,-37.64,48.2,16.11
Thompson,90,CA,1561489571,82,55.74,-97.86,62.6,5.82
Butaritari,100,KI,1561489502,77,3.07,172.79,83.03,12.53
Bambous Virieux,75,MU,1561489531,78,-20.34,57.76,75.2,14.99
Nizhniy Tagil,93,RU,1561489968,97,57.92,59.97,49.19,1.5
Sioux Lookout,90,CA,1561489970,72,50.1,-91.92,75.2,17.22
Upernavik,100,GL,1561489514,95,72.79,-56.15,35.69,13.06
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Torbay,75,CA,1561489973,76,47.66,-52.73,61.0,9.17
Belmonte,92,PT,1561489515,51,40.36,-7.35,73.0,5.46
Tarko-Sale,55,RU,1561489975,87,64.92,77.78,45.0,2.68
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Namibe,10,AO,1561489978,80,-15.19,12.15,66.47,10.02
Goiatuba,0,BR,1561489979,37,-18.02,-49.36,83.57,9.55
Iqaluit,75,CA,1561489541,66,63.75,-68.52,50.0,5.82
Vaini,46,IN,1561489546,89,15.34,74.49,78.89,4.23
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Puerto Ayora,75,EC,1561489504,73,-0.74,-90.35,77.0,20.8
Aktau,0,KZ,1561489994,83,43.65,51.16,75.2,6.53
Ilulissat,75,GL,1561489998,57,69.22,-51.1,50.0,6.93
Kavaratti,92,IN,1561489999,76,10.57,72.64,83.75,15.88
Tolosa,40,ES,1561490001,78,43.14,-2.07,75.2,3.06
Tura,100,IN,1561490002,78,25.52,90.21,82.85,11.79
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Longyearbyen,40,NO,1561489554,65,78.22,15.63,44.6,9.17
Ipatovo,32,RU,1561490007,72,45.72,42.92,76.73,13.11
Honningsvag,75,NO,1561490009,71,70.98,25.97,50.0,23.04
Darhan,6,MN,1561490010,92,49.49,105.92,52.61,2.1
Ribeira Grande,40,PT,1561489586,64,38.52,-28.7,69.8,11.41
Fairbanks,1,US,1561489788,59,64.84,-147.72,69.01,1.57
Castro,90,CL,1561489545,93,-42.48,-73.76,44.6,11.41
Saskylakh,50,RU,1561489572,49,71.97,114.09,69.17,8.16
Qaanaaq,100,GL,1561489505,88,77.48,-69.36,34.61,3.06
Tasiilaq,5,GL,1561489389,66,65.61,-37.64,48.2,16.11
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Punta Arenas,20,CL,1561489501,64,-53.16,-70.91,39.2,10.29
Caraquet,1,CA,1561490021,35,47.79,-64.94,73.4,10.29
Vaini,46,IN,1561489546,89,15.34,74.49,78.89,4.23
San Miguel,0,AR,1561490024,40,-34.54,-58.72,53.6,19.46
Tarakan,66,ID,1561489962,85,3.3,117.63,79.61,5.14
Tateyama,0,JP,1561490027,95,36.66,137.31,70.0,2.13
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Coquimbo,0,CL,1561490029,58,-29.95,-71.34,57.2,11.41
Antofagasta,0,CL,1561489933,72,-23.65,-70.4,60.8,12.75
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Walvis Bay,9,NA,1561490035,82,-22.95,14.51,57.2,3.36
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Ostrovnoy,84,RU,1561489962,63,68.05,39.51,48.29,3.42
Cabo San Lucas,5,MX,1561489840,65,22.89,-109.91,100.0,8.05
Hasaki,20,JP,1561489516,100,35.73,140.83,63.0,3.36
Calafat,14,RO,1561490040,63,43.99,22.93,76.01,2.51
Chuguyevka,96,RU,1561490042,84,44.17,133.87,60.53,7.52
Kalmunai,100,LK,1561490043,71,7.42,81.82,79.79,1.79
Jumla,6,NP,1561490044,93,29.28,82.18,53.15,3.33
Hami,91,CN,1561490045,31,42.84,93.51,73.13,19.46
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Castro,90,CL,1561489545,93,-42.48,-73.76,44.6,11.41
Bredasdorp,76,ZA,1561489503,82,-34.53,20.04,59.0,12.75
Heihe,40,RU,1561490050,100,50.24,127.51,51.8,4.47
Bezhanitsy,97,RU,1561490060,68,56.97,29.88,65.93,4.61
Avarua,100,CK,1561489536,69,-21.21,-159.78,75.2,5.82
Pandan,95,PH,1561490063,79,11.72,122.09,83.21,12.66
Atuona,5,PF,1561489503,76,-9.8,-139.03,81.23,22.21
Zhangye,100,CN,1561490068,60,38.94,100.46,62.15,8.28
Ancud,90,CL,1561489573,93,-41.87,-73.83,44.6,11.41
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Saint-Philippe,90,CA,1561489572,93,45.36,-73.48,69.8,12.75
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Baoro,74,CF,1561490074,97,5.69,15.95,69.35,2.26
Mataura,68,NZ,1561489510,83,-46.19,168.86,44.01,5.99
Shuya,69,RU,1561490076,81,56.84,41.38,54.95,5.73
Saint-Philippe,90,CA,1561489572,93,45.36,-73.48,69.8,12.75
Ostrovnoy,84,RU,1561489962,63,68.05,39.51,48.29,3.42
Havre-Saint-Pierre,20,CA,1561490079,37,50.23,-63.6,68.0,16.11
Sao Joao da Ponte,43,BR,1561490081,35,-15.93,-44.01,83.21,5.46
Norman Wells,90,CA,1561489515,93,65.28,-126.83,50.0,16.11
Vostok,80,RU,1561490083,98,46.45,135.83,61.61,2.84
Chuy,100,UY,1561489828,70,-33.69,-53.46,50.81,20.69
Kupino,85,RU,1561490085,78,54.36,77.31,64.85,8.12
Kruisfontein,90,ZA,1561489887,94,-34.0,24.73,52.79,8.37
Mar del Plata,0,AR,1561489555,34,-46.43,-67.52,43.25,14.94
Antsohihy,0,MG,1561490089,73,-14.88,47.99,77.09,7.92
Upernavik,100,GL,1561489514,95,72.79,-56.15,35.69,13.06
San Vicente,20,SV,1561489925,47,13.64,-88.78,95.0,10.29
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Berlevag,75,NO,1561490094,71,70.86,29.09,50.0,20.8
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Kalmunai,100,LK,1561490043,71,7.42,81.82,79.79,1.79
Ponta do Sol,42,BR,1561489506,52,-20.63,-46.0,75.29,5.61
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Tiksi,30,RU,1561490100,58,71.64,128.87,54.05,4.27
Pop,44,UZ,1561490102,31,40.87,71.1,78.8,2.24
Zhigansk,11,RU,1561489554,72,66.77,123.37,63.95,13.62
Saint-Philippe,90,CA,1561489572,93,45.36,-73.48,69.8,12.75
Te Anau,1,NZ,1561489939,84,-45.41,167.72,37.85,4.34
Kingston,40,CA,1561489919,69,44.23,-76.48,79.0,18.34
Kapaa,75,US,1561489518,83,22.08,-159.32,80.6,8.05
Cockburn Town,55,TC,1561489561,80,21.46,-71.14,81.23,11.39
Ahipara,56,NZ,1561490101,80,-35.17,173.16,57.65,15.01
Elat,61,CM,1561490111,96,2.91,11.16,69.53,3.87
Atuona,5,PF,1561490070,76,-9.8,-139.03,81.23,22.21
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Yenagoa,97,NG,1561490115,89,4.92,6.26,75.11,5.97
Whitehorse,75,CA,1561490116,76,60.72,-135.06,63.0,4.05
Esperance,20,TT,1561489266,55,10.24,-61.45,90.0,12.75
Cervo,40,BR,1561490118,46,-22.19,-46.24,71.6,9.93
Thompson,90,CA,1561489571,82,55.74,-97.86,62.6,5.82
Caravelas,10,BR,1561490121,65,-17.73,-39.27,79.79,10.33
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Nishihara,20,JP,1561490126,94,35.74,139.53,75.0,6.93
Portland,75,US,1561490128,52,45.52,-122.67,71.01,5.82
Thompson,90,CA,1561489571,82,55.74,-97.86,62.6,5.82
Cape Town,0,ZA,1561489900,71,-33.93,18.42,59.0,11.41
Hithadhoo,99,MV,1561490131,68,-0.6,73.08,85.19,6.22
Yarada,40,IN,1561490133,79,17.65,83.27,86.0,2.24
Libenge,100,CD,1561490134,99,3.65,18.64,69.89,1.97
Las Tunas,40,CU,1561490135,41,20.96,-76.96,93.2,8.05
Ancud,90,CL,1561489573,93,-41.87,-73.83,44.6,11.41
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Upernavik,100,GL,1561490071,95,72.79,-56.15,35.69,13.06
Fitionesti,0,RO,1561490140,69,45.98,27.05,79.0,8.05
Avarua,100,CK,1561490000,69,-21.21,-159.78,75.2,5.82
Karuzi,99,BI,1561490142,91,-3.1,30.16,62.51,2.51
Chimbote,100,PE,1561490143,89,-9.08,-78.59,62.15,10.29
Alofi,100,NU,1561489560,94,-19.06,-169.92,71.6,8.05
Mataura,68,NZ,1561490146,82,-46.19,168.86,44.01,5.99
Jamestown,0,AU,1561490110,58,-33.21,138.6,45.95,7.83
Black River,20,JM,1561490148,66,18.03,-77.85,89.6,19.46
Mangaratiba,0,BR,1561490149,43,-22.96,-44.04,95.0,5.82
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Hithadhoo,99,MV,1561490131,68,-0.6,73.08,85.19,6.22
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Hermanus,38,ZA,1561490154,85,-34.42,19.24,59.0,8.01
Mana,40,RS,1561490155,73,43.52,20.24,77.0,4.7
Mataura,68,NZ,1561490146,82,-46.19,168.86,44.01,5.99
Amalapuram,0,IN,1561490158,78,16.58,82.0,84.65,4.97
Qujing,99,CN,1561490162,93,25.49,103.8,63.59,3.53
Faanui,68,PF,1561490163,73,-16.48,-151.75,78.89,16.02
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Sistranda,75,NO,1561490098,76,63.73,8.83,55.4,13.87
Sitrah,0,BH,1561490148,53,26.15,50.62,100.4,9.17
Ponta Delgada,75,PT,1561490168,68,37.73,-25.67,66.2,13.87
Arraial do Cabo,0,BR,1561490169,65,-22.97,-42.02,84.2,13.87
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Mataura,68,NZ,1561490146,82,-46.19,168.86,44.01,5.99
Sao Felix do Xingu,33,BR,1561489943,42,-6.64,-51.99,90.23,5.5
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Dudinka,75,RU,1561490175,86,69.41,86.18,39.2,8.95
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Hobart,0,AU,1561490080,75,-42.88,147.33,45.0,8.05
Karratha,0,AU,1561490181,35,-20.74,116.85,65.57,2.17
Nador,0,MA,1561490183,65,35.17,-2.93,77.0,4.7
Jamestown,0,AU,1561490110,58,-33.21,138.6,45.95,7.83
Saint-Philippe,90,CA,1561490185,93,45.36,-73.48,70.0,12.75
Port Lincoln,0,AU,1561489954,52,-34.72,135.86,57.47,18.25
Huaicheng,18,CN,1561490187,95,23.91,112.19,74.57,0.94
Arraial do Cabo,0,BR,1561490169,65,-22.97,-42.02,84.2,13.87
Hobyo,1,SO,1561490127,79,5.35,48.53,77.81,26.06
Inuvik,75,CA,1561490191,80,68.36,-133.71,42.8,14.99
Koroni,20,GR,1561490195,69,36.8,21.96,81.0,9.53
Yellowknife,20,CA,1561490196,37,62.45,-114.38,71.6,8.05
Ilulissat,75,GL,1561489998,57,69.22,-51.1,50.0,6.93
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Port Elizabeth,1,US,1561490200,62,39.31,-74.98,88.0,13.87
Umm Lajj,0,SA,1561490201,64,25.02,37.27,86.81,11.68
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Gat,5,SN,1561490204,56,14.69,-16.54,82.85,20.24
Grand Gaube,75,MU,1561490205,78,-20.01,57.66,75.2,14.99
Suez,0,EG,1561490206,44,29.97,32.54,83.93,11.25
Dickinson,20,US,1561490207,43,46.88,-102.79,73.0,14.99
Charters Towers,11,AU,1561490208,50,-20.07,146.27,55.31,10.18
Dikson,0,RU,1561489864,87,73.51,80.55,31.55,11.68
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Sorland,75,NO,1561489891,66,67.67,12.69,50.0,9.17
Ancud,90,CL,1561490214,93,-41.87,-73.83,44.6,11.41
Jackville,40,CI,1561490216,94,5.21,-4.42,75.2,6.93
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Faanui,68,PF,1561490163,73,-16.48,-151.75,78.89,16.02
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
